word	SVM_direction	SVM_coef	Dominant_topic	Country_weight
january	Neutral	0.037	T1:hearing_scheduling	0.0274
judge	Violation	0.055	T0:GBR_evaluative	0.0203
judgment	Violation	0.136	T9:Russia_enforcement	0.0438
july	Violation	0.052	T1:hearing_scheduling	0.0285
june	Violation	0.117	T1:hearing_scheduling	0.0283
lawyer	No_Violation	-0.162	T6:detention_conditions	0.0145
legislative	No_Violation	-0.307	T4:Turkey_admin	0.0015
life	Violation	0.205	T4:Turkey_admin	0.0253
living	No_Violation	-0.158	T0:GBR_evaluative	0.0060
lodged	Violation	0.162	T4:Turkey_admin	0.0190
made	No_Violation	-0.107	T0:GBR_evaluative	0.0166
management	No_Violation	-0.157	T0:GBR_evaluative	0.0040
march	Violation	0.103	T1:hearing_scheduling	0.0310
material	No_Violation	-0.095	T0:GBR_evaluative	0.0165
may	Neutral	-0.002	T1:hearing_scheduling	0.0294
meaning	No_Violation	-0.186	T0:GBR_evaluative	0.0002
measured	No_Violation	-0.159	T6:detention_conditions	0.0055
might	No_Violation	-0.170	T0:GBR_evaluative	0.0053
ministry	Violation	0.102	T4:Turkey_admin	0.0177
moscow	Violation	0.181	T5:Russia_pension	0.0316
must	No_Violation	-0.150	T0:GBR_evaluative	0.0027
name	No_Violation	-0.148	T0:GBR_evaluative	0.0071
new	No_Violation	-0.070	T1:hearing_scheduling	0.0186
november	Neutral	0.042	T1:hearing_scheduling	0.0308
october	Violation	0.066	T1:hearing_scheduling	0.0329
office	Violation	0.070	T3:land_expropriation	0.0186
official	No_Violation	-0.206	T0:GBR_evaluative	0.0073
one	No_Violation	-0.054	T0:GBR_evaluative	0.0193
order	Violation	0.137	T0:GBR_evaluative	0.0150
ordered	Violation	0.076	T5:Russia_pension	0.0240
owner	No_Violation	-0.175	T0:GBR_evaluative	0.0044
part	No_Violation	-0.107	T0:GBR_evaluative	0.0174
partially	Violation	0.124	T3:land_expropriation	0.0010
pecuniary	Violation	0.138	T9:Russia_enforcement	0.0101
pension	Violation	0.210	T5:Russia_pension	0.0267
place	Neutral	-0.002	T1:hearing_scheduling	0.0174
planning	No_Violation	-0.156	T0:GBR_evaluative	0.0003
police	Violation	0.057	T2:Turkey_security	0.0211
premise	No_Violation	-0.179	T6:detention_conditions	0.0042
presidium	Neutral	0.048	T9:Russia_enforcement	0.0172
proceeding	Violation	0.060	T1:hearing_scheduling	0.0329
prosecutor	Neutral	0.025	T2:Turkey_security	0.0192
provision	No_Violation	-0.181	T0:GBR_evaluative	0.0053
quashed	Violation	0.133	T1:hearing_scheduling	0.0212
received	No_Violation	-0.072	T1:hearing_scheduling	0.0204
region	Neutral	0.046	T9:Russia_enforcement	0.0230
regional	Neutral	0.037	T1:hearing_scheduling	0.0525
remand	No_Violation	-0.073	T6:detention_conditions	0.0183
remitted	Neutral	0.039	T1:hearing_scheduling	0.0192
remove	No_Violation	-0.148	T0:GBR_evaluative	0.0031
representative	Violation	0.125	T1:hearing_scheduling	0.0156
republic	Violation	0.106	T9:Russia_enforcement	0.0188
request	No_Violation	-0.061	T4:Turkey_admin	0.0233
requested	Violation	0.150	T3:land_expropriation	0.0137
rub	Violation	0.119	T9:Russia_enforcement	0.0208
russia	Neutral	-0.002	T9:Russia_enforcement	0.0236
russian	No_Violation	-0.113	T9:Russia_enforcement	0.0379
said	No_Violation	-0.159	T0:GBR_evaluative	0.0042
say	No_Violation	-0.162	T0:GBR_evaluative	0.0011
scheduled	Neutral	0.013	T1:hearing_scheduling	0.0236
second	Violation	0.167	T0:GBR_evaluative	0.0130
section	No_Violation	-0.156	T8:UK_statutory	0.0036
security	Violation	0.206	T2:Turkey_security	0.0059
sent	Neutral	0.048	T1:hearing_scheduling	0.0173
september	Neutral	0.003	T1:hearing_scheduling	0.0324
set	Violation	0.120	T7:pretrial_detention	0.0179
several	Neutral	-0.036	T6:detention_conditions	0.0173
statement	No_Violation	-0.066	T2:Turkey_security	0.0180
submission	No_Violation	-0.181	T0:GBR_evaluative	0.0101
submitted	Neutral	-0.031	T4:Turkey_admin	0.0220
supervisory	Neutral	0.006	T9:Russia_enforcement	0.0226
supreme	Violation	0.121	T4:Turkey_admin	0.0247
total	Violation	0.157	T7:pretrial_detention	0.0022
town	Violation	0.160	T5:Russia_pension	0.0417
transaction	No_Violation	-0.174	T1:hearing_scheduling	0.0031
trial	No_Violation	-0.100	T1:hearing_scheduling	0.0273
two	Neutral	-0.040	T8:UK_statutory	0.0224
unspecified	Violation	0.073	T9:Russia_enforcement	0.0209
upheld	Neutral	0.031	T1:hearing_scheduling	0.0305
upper	No_Violation	-0.162	T6:detention_conditions	0.0019
witness	Neutral	0.010	T6:detention_conditions	0.0193
written	Violation	0.149	T6:detention_conditions	0.0107
