word	SVM_direction	SVM_coef	Dominant_topic	Country_weight
must	No_Violation	-0.150	T0:jury/evidence	0.0068
name	No_Violation	-0.148	T0:jury/evidence	0.0078
national	Neutral	-0.026	T7:pretrial_detention	0.0177
november	Neutral	0.042	T1:land_expropriation	0.0347
october	Violation	0.066	T1:land_expropriation	0.0322
office	Violation	0.070	T3:Turkey_security	0.0202
officer	Violation	0.115	T8:hearing_scheduling	0.0183
official	No_Violation	-0.206	T0:jury/evidence	0.0108
order	Violation	0.137	T0:jury/evidence	0.0162
ordered	Violation	0.076	T5:Russia_pension	0.0172
organisation	Neutral	-0.041	T2:UK_statutory	0.0179
owner	No_Violation	-0.175	T0:jury/evidence	0.0009
partially	Violation	0.124	T3:Turkey_security	0.0159
pecuniary	Violation	0.138	T9:Russia_enforcement	0.0148
pending	Violation	0.097	T7:pretrial_detention	0.0226
pension	Violation	0.210	T5:Russia_pension	0.0016
planning	No_Violation	-0.156	T0:jury/evidence	0.0011
plus	Violation	0.091	T3:Turkey_security	0.0180
police	Violation	0.057	T2:UK_statutory	0.0306
premise	No_Violation	-0.179	T6:detention_conditions	0.0028
proceeding	Violation	0.060	T1:land_expropriation	0.0408
prosecutor	Neutral	0.025	T2:UK_statutory	0.0387
provision	No_Violation	-0.181	T0:jury/evidence	0.0038
public	No_Violation	-0.070	T2:UK_statutory	0.0404
quashed	Violation	0.133	T1:land_expropriation	0.0230
rectification	Violation	0.102	T4:Turkey_admin	0.0289
released	Violation	0.112	T7:pretrial_detention	0.0172
remove	No_Violation	-0.148	T0:jury/evidence	0.0020
report	Neutral	0.016	T2:UK_statutory	0.0310
representative	Violation	0.125	T1:land_expropriation	0.0074
request	No_Violation	-0.061	T4:Turkey_admin	0.0286
requested	Violation	0.150	T3:Turkey_security	0.0325
respectively	No_Violation	-0.059	T3:Turkey_security	0.0181
right	No_Violation	-0.127	T0:jury/evidence	0.0184
said	No_Violation	-0.159	T0:jury/evidence	0.0061
say	No_Violation	-0.162	T0:jury/evidence	0.0019
second	Violation	0.167	T0:jury/evidence	0.0123
section	No_Violation	-0.156	T8:hearing_scheduling	0.0065
security	Violation	0.206	T2:UK_statutory	0.0554
september	Neutral	0.003	T1:land_expropriation	0.0178
state	Neutral	0.006	T2:UK_statutory	0.0384
stated	Neutral	-0.037	T0:jury/evidence	0.0204
statement	No_Violation	-0.066	T2:UK_statutory	0.0238
submission	No_Violation	-0.181	T0:jury/evidence	0.0112
submitted	Neutral	-0.031	T4:Turkey_admin	0.0236
subsequently	Neutral	-0.008	T7:pretrial_detention	0.0190
supreme	Violation	0.121	T4:Turkey_admin	0.0358
suspicion	Violation	0.091	T2:UK_statutory	0.0195
taken	Neutral	-0.040	T2:UK_statutory	0.0228
total	Violation	0.157	T7:pretrial_detention	0.0202
town	Violation	0.160	T5:Russia_pension	0.0013
transaction	No_Violation	-0.174	T1:land_expropriation	0.0027
try	Violation	0.111	T3:Turkey_security	0.0213
turkish	Violation	0.068	T7:pretrial_detention	0.0411
two	Neutral	-0.040	T8:hearing_scheduling	0.0171
upheld	Neutral	0.031	T1:land_expropriation	0.0292
upper	No_Violation	-0.162	T6:detention_conditions	0.0026
written	Violation	0.149	T6:detention_conditions	0.0091
